plot_file,plot_family,cube_name,unit,audience,color_mode,x_variable,y_variable,z_variable,weight_variable,filter_description,interpretation_note,caveats,title,caption_note,figure_tier,recommendation_status,interpretation_message,display_transform,selection_rule,known_limitation,status
outputs\plots\abm_v3\phase_space\phase_space_global_green_readiness_incoming_xy_1995_2016_research.svg,2d_projection,Green Transition Readiness Cube - incoming network version,global,research,default,green_capability_export_share,g_local,g_in_network,trajectory_weight_output,x_y projection,"Uses available incoming directional network green-ness, not the missing aggregate network_green_exposure concept.","Historical state-space diagnostic, not a scenario forecast or causal transition estimate.","Output-weighted global trajectory in green capability and local green-ness, 1995-2016","Output-weighted country-sector trajectory. Local green-ness is a node-level proxy; incoming and outgoing network green-ness are directional network proxies, not the missing canonical network-green-exposure variable.",thesis-core,recommended-draft,Shows output-weighted movement through available green-readiness space.,display labels cleaned only; source data unchanged,x_y projection,Use with directional-proxy caveat.,written
outputs\plots\abm_v3\phase_space\phase_space_vector_field_green_readiness_incoming_xy_1995_2016_research.svg,vector_field,Green Transition Readiness Cube - incoming network version,country_sector-year movement,research,default,green_capability_export_share,g_local,g_in_network,trajectory_weight_output,binned x_y movement; table=data\abm_v3\phase_space\vector_fields\vector_field_green_readiness_incoming_x_y_1995_2016.csv,"Uses available incoming directional network green-ness, not the missing aggregate network_green_exposure concept.","Historical state-space diagnostic, not a scenario forecast or causal transition estimate.","Binned year-to-year movement field in green capability and local green-ness, 1995-2016","Arrows show average year-to-year movement in binned state space. These are historical diagnostics, not forecasts or causal transition rules.",diagnostic,diagnostic-until-validated,Average historical movement in binned state space; diagnostic only.,display labels cleaned only; source data unchanged,binned x_y movement; table=data\abm_v3\phase_space\vector_fields\vector_field_green_readiness_incoming_x_y_1995_2016.csv,Vector fields are binned historical summaries; XY incoming and outgoing can be similar because z is not used.,written
outputs\plots\abm_v3\phase_space\phase_space_vector_field_green_readiness_incoming_xz_1995_2016_research.svg,vector_field,Green Transition Readiness Cube - incoming network version,country_sector-year movement,research,default,green_capability_export_share,g_local,g_in_network,trajectory_weight_output,binned x_z movement; table=data\abm_v3\phase_space\vector_fields\vector_field_green_readiness_incoming_x_z_1995_2016.csv,"Uses available incoming directional network green-ness, not the missing aggregate network_green_exposure concept.","Historical state-space diagnostic, not a scenario forecast or causal transition estimate.","Binned year-to-year movement field in green capability and local green-ness, 1995-2016","Arrows show average year-to-year movement in binned state space. These are historical diagnostics, not forecasts or causal transition rules.",diagnostic,diagnostic-until-validated,Average historical movement in binned state space; diagnostic only.,display labels cleaned only; source data unchanged,binned x_z movement; table=data\abm_v3\phase_space\vector_fields\vector_field_green_readiness_incoming_x_z_1995_2016.csv,Vector fields are binned historical summaries; XY incoming and outgoing can be similar because z is not used.,written
outputs\plots\abm_v3\phase_space\phase_space_vector_field_green_readiness_incoming_yz_1995_2016_research.svg,vector_field,Green Transition Readiness Cube - incoming network version,country_sector-year movement,research,default,green_capability_export_share,g_local,g_in_network,trajectory_weight_output,binned y_z movement; table=data\abm_v3\phase_space\vector_fields\vector_field_green_readiness_incoming_y_z_1995_2016.csv,"Uses available incoming directional network green-ness, not the missing aggregate network_green_exposure concept.","Historical state-space diagnostic, not a scenario forecast or causal transition estimate.","Binned year-to-year movement field in green capability and local green-ness, 1995-2016","Arrows show average year-to-year movement in binned state space. These are historical diagnostics, not forecasts or causal transition rules.",diagnostic,diagnostic-until-validated,Average historical movement in binned state space; diagnostic only.,display labels cleaned only; source data unchanged,binned y_z movement; table=data\abm_v3\phase_space\vector_fields\vector_field_green_readiness_incoming_y_z_1995_2016.csv,Vector fields are binned historical summaries; XY incoming and outgoing can be similar because z is not used.,written
outputs\plots\abm_v3\phase_space\phase_space_global_green_readiness_outgoing_3d_1995_2016_portfolio.png,3d_trajectory,Green Transition Readiness Cube - outgoing network version,global,portfolio,default,green_capability_export_share,g_local,g_out_network,trajectory_weight_output,all country-sector nodes,"Uses available outgoing directional network green-ness, not the missing aggregate network_green_exposure concept.","Historical state-space diagnostic, not a scenario forecast or causal transition estimate.",The system becomes locally greener faster than it becomes network-greener,"Output-weighted country-sector trajectory. Local green-ness is a node-level proxy; incoming and outgoing network green-ness are directional network proxies, not the missing canonical network-green-exposure variable.",thesis-core,recommended-draft,Shows output-weighted movement through available green-readiness space.,display labels cleaned only; source data unchanged,all country-sector nodes,"Outgoing network green-ness is directional, not aggregate network_green_exposure.",written
outputs\plots\abm_v3\phase_space\phase_space_sector_green_readiness_outgoing_3d_1995_2016_portfolio.png,3d_trajectory,Green Transition Readiness Cube - outgoing network version,sector,portfolio,default,green_capability_export_share,g_local,g_out_network,trajectory_weight_output,top 8 sectors by movement relevance,"Uses available outgoing directional network green-ness, not the missing aggregate network_green_exposure concept.","Historical state-space diagnostic, not a scenario forecast or causal transition estimate.",Sector trajectories reveal distinct capability-constrained transition paths,Filtered trajectory view. Labels show selected sectors or country-sector nodes only; full trajectories remain available in research outputs.,research-support,supporting,Shows heterogeneous sector corridors in available green-readiness space.,display labels cleaned only; source data unchanged,top 8 sectors by movement relevance,Filtered view; not all sectors or nodes are displayed.,written
outputs\plots\abm_v3\phase_space\phase_space_vector_field_green_readiness_outgoing_xy_1995_2016_portfolio.png,vector_field,Green Transition Readiness Cube - outgoing network version,country_sector-year movement,portfolio,default,green_capability_export_share,g_local,g_out_network,trajectory_weight_output,binned x_y movement; table=data\abm_v3\phase_space\vector_fields\vector_field_green_readiness_outgoing_x_y_1995_2016.csv,"Uses available outgoing directional network green-ness, not the missing aggregate network_green_exposure concept.","Historical state-space diagnostic, not a scenario forecast or causal transition estimate.",Historical movement fields show uneven motion across the green-readiness space,"Arrows show average year-to-year movement in binned state space. These are historical diagnostics, not forecasts or causal transition rules.",diagnostic,diagnostic-until-validated,Average historical movement in binned state space; diagnostic only.,display labels cleaned only; source data unchanged,binned x_y movement; table=data\abm_v3\phase_space\vector_fields\vector_field_green_readiness_outgoing_x_y_1995_2016.csv,Vector fields are binned historical summaries; XY incoming and outgoing can be similar because z is not used.,written
outputs\plots\abm_v3\phase_space\phase_space_global_green_readiness_outgoing_3d_1995_2016_research.svg,3d_trajectory,Green Transition Readiness Cube - outgoing network version,global,research,default,green_capability_export_share,g_local,g_out_network,trajectory_weight_output,all country-sector nodes,"Uses available outgoing directional network green-ness, not the missing aggregate network_green_exposure concept.","Historical state-space diagnostic, not a scenario forecast or causal transition estimate.","Global trajectory in green capability, local green-ness, and outgoing network green-ness, 1995-2016","Output-weighted country-sector trajectory. Local green-ness is a node-level proxy; incoming and outgoing network green-ness are directional network proxies, not the missing canonical network-green-exposure variable.",thesis-core,recommended-draft,Shows output-weighted movement through available green-readiness space.,display labels cleaned only; source data unchanged,all country-sector nodes,"Outgoing network green-ness is directional, not aggregate network_green_exposure.",written
outputs\plots\abm_v3\phase_space\phase_space_sector_green_readiness_outgoing_3d_1995_2016_research.svg,3d_trajectory,Green Transition Readiness Cube - outgoing network version,sector,research,default,green_capability_export_share,g_local,g_out_network,trajectory_weight_output,all sectors with transparency,"Uses available outgoing directional network green-ness, not the missing aggregate network_green_exposure concept.","Historical state-space diagnostic, not a scenario forecast or causal transition estimate.","Sector-level trajectories in green capability, local green-ness, and network green-ness, 1995-2016",Filtered trajectory view. Labels show selected sectors or country-sector nodes only; full trajectories remain available in research outputs.,research-support,supporting,Shows heterogeneous sector corridors in available green-readiness space.,display labels cleaned only; source data unchanged,all sectors with transparency,Filtered view; not all sectors or nodes are displayed.,written
outputs\plots\abm_v3\phase_space\phase_space_vector_field_green_readiness_outgoing_xy_1995_2016_research.svg,vector_field,Green Transition Readiness Cube - outgoing network version,country_sector-year movement,research,default,green_capability_export_share,g_local,g_out_network,trajectory_weight_output,binned x_y movement; table=data\abm_v3\phase_space\vector_fields\vector_field_green_readiness_outgoing_x_y_1995_2016.csv,"Uses available outgoing directional network green-ness, not the missing aggregate network_green_exposure concept.","Historical state-space diagnostic, not a scenario forecast or causal transition estimate.","Binned year-to-year movement field in green capability and local green-ness, 1995-2016","Arrows show average year-to-year movement in binned state space. These are historical diagnostics, not forecasts or causal transition rules.",diagnostic,diagnostic-until-validated,Average historical movement in binned state space; diagnostic only.,display labels cleaned only; source data unchanged,binned x_y movement; table=data\abm_v3\phase_space\vector_fields\vector_field_green_readiness_outgoing_x_y_1995_2016.csv,Vector fields are binned historical summaries; XY incoming and outgoing can be similar because z is not used.,written
outputs\plots\abm_v3\phase_space\phase_space_vector_field_green_readiness_outgoing_xz_1995_2016_research.svg,vector_field,Green Transition Readiness Cube - outgoing network version,country_sector-year movement,research,default,green_capability_export_share,g_local,g_out_network,trajectory_weight_output,binned x_z movement; table=data\abm_v3\phase_space\vector_fields\vector_field_green_readiness_outgoing_x_z_1995_2016.csv,"Uses available outgoing directional network green-ness, not the missing aggregate network_green_exposure concept.","Historical state-space diagnostic, not a scenario forecast or causal transition estimate.","Binned year-to-year movement field in green capability and local green-ness, 1995-2016","Arrows show average year-to-year movement in binned state space. These are historical diagnostics, not forecasts or causal transition rules.",diagnostic,diagnostic-until-validated,Average historical movement in binned state space; diagnostic only.,display labels cleaned only; source data unchanged,binned x_z movement; table=data\abm_v3\phase_space\vector_fields\vector_field_green_readiness_outgoing_x_z_1995_2016.csv,Vector fields are binned historical summaries; XY incoming and outgoing can be similar because z is not used.,written
outputs\plots\abm_v3\phase_space\phase_space_vector_field_green_readiness_outgoing_yz_1995_2016_research.svg,vector_field,Green Transition Readiness Cube - outgoing network version,country_sector-year movement,research,default,green_capability_export_share,g_local,g_out_network,trajectory_weight_output,binned y_z movement; table=data\abm_v3\phase_space\vector_fields\vector_field_green_readiness_outgoing_y_z_1995_2016.csv,"Uses available outgoing directional network green-ness, not the missing aggregate network_green_exposure concept.","Historical state-space diagnostic, not a scenario forecast or causal transition estimate.","Binned year-to-year movement field in green capability and local green-ness, 1995-2016","Arrows show average year-to-year movement in binned state space. These are historical diagnostics, not forecasts or causal transition rules.",diagnostic,diagnostic-until-validated,Average historical movement in binned state space; diagnostic only.,display labels cleaned only; source data unchanged,binned y_z movement; table=data\abm_v3\phase_space\vector_fields\vector_field_green_readiness_outgoing_y_z_1995_2016.csv,Vector fields are binned historical summaries; XY incoming and outgoing can be similar because z is not used.,written
outputs\plots\abm_v3\phase_space\phase_space_global_production_safe_incoming_3d_1995_2016_portfolio.png,3d_trajectory,Production-Safe Greening Cube - incoming network version,global,portfolio,default,log_X_observed,g_local,g_in_network,trajectory_weight_output,all country-sector nodes,Places greening next to production scale to avoid confusing green transition with output collapse.,Production-safe greening is diagnostic here; it is not a full endogenous transition simulation.,"Greening occurs alongside rising production scale, not through collapse",This plot checks whether apparent greening occurs alongside production resilience rather than output collapse.,research-support,supporting,Checks whether greening coexists with production resilience.,display labels cleaned only; source data unchanged,all country-sector nodes,Use as contextual 3D trajectory.,written
outputs\plots\abm_v3\phase_space\phase_space_global_production_safe_incoming_xy_1995_2016_portfolio.png,2d_projection,Production-Safe Greening Cube - incoming network version,global,portfolio,default,log_X_observed,g_local,g_in_network,trajectory_weight_output,x_y projection,Places greening next to production scale to avoid confusing green transition with output collapse.,Production-safe greening is diagnostic here; it is not a full endogenous transition simulation.,Local green-ness improves while production scale expands,This plot checks whether apparent greening occurs alongside production resilience rather than output collapse.,thesis-core,recommended-draft,Checks whether greening coexists with production resilience.,display labels cleaned only; source data unchanged,x_y projection,Use with directional-proxy caveat.,written
outputs\plots\abm_v3\phase_space\phase_space_global_production_safe_incoming_3d_1995_2016_research.svg,3d_trajectory,Production-Safe Greening Cube - incoming network version,global,research,default,log_X_observed,g_local,g_in_network,trajectory_weight_output,all country-sector nodes,Places greening next to production scale to avoid confusing green transition with output collapse.,Production-safe greening is diagnostic here; it is not a full endogenous transition simulation.,"Production-safe greening trajectory with directional network green-ness, 1995-2016",This plot checks whether apparent greening occurs alongside production resilience rather than output collapse.,research-support,supporting,Checks whether greening coexists with production resilience.,display labels cleaned only; source data unchanged,all country-sector nodes,Use as contextual 3D trajectory.,written
outputs\plots\abm_v3\phase_space\phase_space_global_production_safe_incoming_xy_1995_2016_research.svg,2d_projection,Production-Safe Greening Cube - incoming network version,global,research,default,log_X_observed,g_local,g_in_network,trajectory_weight_output,x_y projection,Places greening next to production scale to avoid confusing green transition with output collapse.,Production-safe greening is diagnostic here; it is not a full endogenous transition simulation.,"Output-weighted trajectory in log production scale and local green-ness, 1995-2016",This plot checks whether apparent greening occurs alongside production resilience rather than output collapse.,thesis-core,recommended-draft,Checks whether greening coexists with production resilience.,display labels cleaned only; source data unchanged,x_y projection,Use with directional-proxy caveat.,written
outputs\plots\abm_v3\phase_space\phase_space_global_production_safe_outgoing_3d_1995_2016_portfolio.png,3d_trajectory,Production-Safe Greening Cube - outgoing network version,global,portfolio,default,log_X_observed,g_local,g_out_network,trajectory_weight_output,all country-sector nodes,Places greening next to production scale to avoid confusing green transition with output collapse.,Production-safe greening is diagnostic here; it is not a full endogenous transition simulation.,"Greening occurs alongside rising production scale, not through collapse",This plot checks whether apparent greening occurs alongside production resilience rather than output collapse.,research-support,supporting,Checks whether greening coexists with production resilience.,display labels cleaned only; source data unchanged,all country-sector nodes,Use as contextual 3D trajectory.,written
outputs\plots\abm_v3\phase_space\phase_space_global_production_safe_outgoing_3d_1995_2016_research.svg,3d_trajectory,Production-Safe Greening Cube - outgoing network version,global,research,default,log_X_observed,g_local,g_out_network,trajectory_weight_output,all country-sector nodes,Places greening next to production scale to avoid confusing green transition with output collapse.,Production-safe greening is diagnostic here; it is not a full endogenous transition simulation.,"Production-safe greening trajectory with directional network green-ness, 1995-2016",This plot checks whether apparent greening occurs alongside production resilience rather than output collapse.,research-support,supporting,Checks whether greening coexists with production resilience.,display labels cleaned only; source data unchanged,all country-sector nodes,Use as contextual 3D trajectory.,written
